-,60,_
2635,Philia,3*,wind,bow,2957,[Resounding_Rendition+Flash_of_Genius][Zephyr],<c4+fs & hit15 & hp100 & 0 resist & hp70>,,attack:809,force_strike:478,skill_1:984,skill_2:293,skill_3:0,team_buff:0,s2_paralysis:69
2015,_c_Philia,3*,wind,bow,2957,[Resounding_Rendition+Flash_of_Genius][Zephyr],!<c4+fs & hit15 & hp100 & 0 resist & hp70>,,attack:904,force_strike:0,skill_1:786,skill_2:324,skill_3:0,team_buff:0,s2_paralysis:0
-,60,k
2898,Philia,3*,wind,bow,2957,[Resounding_Rendition+Flash_of_Genius][Zephyr],<c4+fs & hit15 & hp100 & 0 resist & hp70>,,attack:890,force_strike:525,skill_1:1083,skill_2:322,skill_3:0,team_buff:0,s2_paralysis:76
2216,_c_Philia,3*,wind,bow,2957,[Resounding_Rendition+Flash_of_Genius][Zephyr],!<c4+fs & hit15 & hp100 & 0 resist & hp70>,,attack:995,force_strike:0,skill_1:864,skill_2:356,skill_3:0,team_buff:0,s2_paralysis:0
-,60,r
2837,Philia,3*,wind,bow,2957,[Resounding_Rendition+Flash_of_Genius][Zephyr],<c4+fs & hit15 & hp100 & 0 resist & hp70>,,attack:809,force_strike:478,skill_1:1132,skill_2:337,skill_3:0,team_buff:0,s2_paralysis:79
2181,_c_Philia,3*,wind,bow,2957,[Resounding_Rendition+Flash_of_Genius][Zephyr],!<c4+fs & hit15 & hp100 & 0 resist & hp70>,,attack:904,force_strike:0,skill_1:904,skill_2:372,skill_3:0,team_buff:0,s2_paralysis:0
-,60,kr
3121,Philia,3*,wind,bow,2957,[Resounding_Rendition+Flash_of_Genius][Zephyr],<c4+fs & hit15 & hp100 & 0 resist & hp70>,,attack:890,force_strike:525,skill_1:1245,skill_2:371,skill_3:0,team_buff:0,s2_paralysis:87
2399,_c_Philia,3*,wind,bow,2957,[Resounding_Rendition+Flash_of_Genius][Zephyr],!<c4+fs & hit15 & hp100 & 0 resist & hp70>,,attack:995,force_strike:0,skill_1:994,skill_2:410,skill_3:0,team_buff:0,s2_paralysis:0
-,60,d
2801,Philia,3*,wind,bow,2957,[Resounding_Rendition+Flash_of_Genius][Zephyr],<c4+fs & hit15 & hp100 & 0 resist & hp70>,,attack:861,force_strike:508,skill_1:1047,skill_2:311,skill_3:0,team_buff:0,s2_paralysis:73
2151,_c_Philia,3*,wind,bow,2957,[Resounding_Rendition+Flash_of_Genius][Zephyr],!<c4+fs & hit15 & hp100 & 0 resist & hp70>,,attack:965,force_strike:0,skill_1:838,skill_2:346,skill_3:0,team_buff:0,s2_paralysis:0
-,60,kd
3082,Philia,3*,wind,bow,2957,[Resounding_Rendition+Flash_of_Genius][Zephyr],<c4+fs & hit15 & hp100 & 0 resist & hp70>,,attack:947,force_strike:559,skill_1:1152,skill_2:342,skill_3:0,team_buff:0,s2_paralysis:80
2366,_c_Philia,3*,wind,bow,2957,[Resounding_Rendition+Flash_of_Genius][Zephyr],!<c4+fs & hit15 & hp100 & 0 resist & hp70>,,attack:1062,force_strike:0,skill_1:922,skill_2:381,skill_3:0,team_buff:0,s2_paralysis:0
-,60,b
2635,Philia,3*,wind,bow,2957,[Resounding_Rendition+Flash_of_Genius][Zephyr],<c4+fs & hit15 & hp100 & 0 resist & hp70>,,attack:809,force_strike:478,skill_1:984,skill_2:293,skill_3:0,team_buff:0,s2_paralysis:69
2015,_c_Philia,3*,wind,bow,2957,[Resounding_Rendition+Flash_of_Genius][Zephyr],!<c4+fs & hit15 & hp100 & 0 resist & hp70>,,attack:904,force_strike:0,skill_1:786,skill_2:324,skill_3:0,team_buff:0,s2_paralysis:0
-,60,kb
2898,Philia,3*,wind,bow,2957,[Resounding_Rendition+Flash_of_Genius][Zephyr],<c4+fs & hit15 & hp100 & 0 resist & hp70>,,attack:890,force_strike:525,skill_1:1083,skill_2:322,skill_3:0,team_buff:0,s2_paralysis:76
2216,_c_Philia,3*,wind,bow,2957,[Resounding_Rendition+Flash_of_Genius][Zephyr],!<c4+fs & hit15 & hp100 & 0 resist & hp70>,,attack:995,force_strike:0,skill_1:864,skill_2:356,skill_3:0,team_buff:0,s2_paralysis:0
-,60,rd
